specimen_id,sweep_number,stimulus_amplitude_pA,num_spikes
537256313,44,70000000000000.0,1
537256313,45,70000000000000.0,2
537256313,46,70000000000000.0,1
537256313,47,162250000000000.0,0
537256313,48,165000000000000.0,0
537256313,49,162250000000000.0,0
537256313,50,165000000000000.0,0
537256313,51,162250000000000.0,0
537256313,52,165000000000000.0,0
537256313,53,162250000000000.0,0
537256313,56,400000000000000.0,0
537256313,57,400000000000000.0,0
537256313,60,50000000000000.0,0
519832676,4,800000000000000.0,0
519832676,5,800000000000000.0,0
519832676,6,800000000000000.0,0
519832676,7,100000000000000.0,0
519832676,8,200000000000000.0,0
519832676,9,300000000000000.0,0
519832676,10,400000000000000.0,0
519832676,11,499999969482421.9,0
519832676,12,600000000000000.0,0
519832676,13,700000000000000.0,0
519832676,14,800000000000000.0,0
519832676,15,900000000000000.0,0
519832676,16,999999938964843.8,0
519832676,17,1100000000000000.0,0
519832676,18,1200000000000000.0,0
519832676,19,1300000000000000.0,0
519832676,20,1400000000000000.0,1
519832676,21,1300000000000000.0,1
519832676,22,1300000000000000.0,1
519832676,23,1300000000000000.0,1
519832676,24,1300000000000000.0,1
519832676,25,1300000000000000.0,1
519832676,26,160000000000000.0,0
519832676,30,80000000000000.0,0
519832676,31,60000000000000.0,0
519832676,32,50000000000000.0,0
519832676,33,50000000000000.0,0
519832676,34,50000000000000.0,0
519832676,35,70000000000000.0,0
519832676,37,110000000000000.0,0
519832676,38,130000000000000.0,1
519832676,39,150000000000000.0,3
519832676,40,170000000000000.0,4
519832676,41,190000000000000.0,5
519832676,42,210000000000000.0,5
519832676,43,230000000000000.0,7
519832676,75,50000000000000.0,0
569095789,4,800000000000000.0,0
569095789,5,800000000000000.0,0
569095789,6,800000000000000.0,0
569095789,7,100000000000000.0,0
569095789,8,200000000000000.0,0
569095789,9,300000000000000.0,0
569095789,10,400000000000000.0,0
569095789,11,499999969482421.9,0
569095789,12,600000000000000.0,0
569095789,13,700000000000000.0,0
569095789,14,800000000000000.0,0
569095789,15,900000000000000.0,1
569095789,16,850000000000000.0,0
569095789,17,870000000000000.0,0
569095789,18,880000000000000.0,0
569095789,19,890000000000000.0,0
569095789,20,900000000000000.0,0
569095789,21,949999938964843.8,1
569095789,22,920000000000000.0,0
569095789,23,930000000000000.0,0
569095789,24,939999938964843.8,0
569095789,25,949999938964843.8,0
569095789,28,969999938964843.8,1
569095789,35,160000000000000.0,0
569095789,36,140000000000000.0,0
569095789,38,100000000000000.0,0
569095789,39,80000000000000.0,0
569095789,40,60000000000000.0,0
569095789,41,50000000000000.0,0
569095789,42,50000000000000.0,0
569095789,43,50000000000000.0,0
569095789,44,70000000000000.0,0
569095789,45,90000000000000.0,0
569095789,46,110000000000000.0,0
569095789,47,130000000000000.0,3
569095789,49,170000000000000.0,9
569095789,50,190000000000000.0,12
569095789,74,50000000000000.0,0
576095991,6,800000000000000.0,0
576095991,7,800000000000000.0,0
576095991,8,100000000000000.0,0
576095991,9,200000000000000.0,0
576095991,10,300000000000000.0,0
576095991,11,400000000000000.0,0
576095991,12,499999969482421.9,1
576095991,13,450000000000000.0,1
576095991,14,430000000000000.0,0
576095991,16,440000000000000.0,1
576095991,19,440000000000000.0,0
576095991,21,450000000000000.0,0
576095991,22,460000000000000.0,1
576095991,25,469999969482421.9,1
576095991,27,469999969482421.9,1
576095991,28,469999969482421.9,0
576095991,30,469999969482421.9,0
576095991,31,469999969482421.9,0
576095991,34,140000000000000.0,0
576095991,35,120000000000000.0,0
576095991,36,100000000000000.0,0
576095991,37,80000000000000.0,0
576095991,38,60000000000000.0,0
